Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vou_1A_H,Vou_1B_H,Vou_1A_L,Vou_1B_L
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.7635266,0.3550531,-0.3442614,0.8287474
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.7635311,0.3552291,-0.3442006,0.8287649
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.3546957,-0.7638776,0.8290515,-0.3448234
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.3546545,-0.7638869,0.8290489,-0.3448977
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.3546148,-0.7638925,0.8290462,-0.3449447
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.3547117,-0.7638813,0.8290556,-0.3448539
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,0.3544799,-0.7638959,0.8290002,-0.3449298
-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-0.7635648,0.354981,-0.344382,0.8287337
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.7635579,0.3550146,-0.3443398,0.8287374
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7635414,0.3550985,-0.3442516,0.8287478
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.7635349,0.3551252,-0.3442373,0.8287526
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7635216,0.3551746,-0.3442067,0.8287611
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.3545875,-0.7638709,0.829057,-0.3448177
