Vin_1A_H,Vin_1B_H,Vin_1A_L,Vin_1B_L,Vin_2A_H,Vin_2B_H,Vin_2A_L,Vin_2B_L,Vin_3A_H,Vin_3B_H,Vin_3A_L,Vin_3B_L,Vou_1A_uH,Vou_1B_uH,Vou_1A_uL,Vou_1B_uL
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.7035216,0.9432148,-0.6401295,0.7324815
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.7034992,0.9432464,-0.640056,0.7325537
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.7032423,0.9434685,-0.6396057,0.7329125
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.7982248,-0.6893997,0.8835853,-0.3494083
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.7982986,-0.6894012,0.883585,-0.3494723
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.7982803,-0.6894481,0.883582,-0.349547
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.7984267,-0.6892843,0.8835899,-0.3493366
1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,0.7973706,-0.6900025,0.8835668,-0.3500017
-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-0.7030994,0.9432468,-0.6401263,0.732472
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.7031173,0.9432695,-0.6400683,0.7325149
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7032197,0.9433301,-0.6399147,0.7326413
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.7033593,0.9433516,-0.6398613,0.7326983
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7033926,0.9433843,-0.6397624,0.7327923
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.7977841,-0.6897271,0.8835573,-0.3496207
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.7976825,-0.6898758,0.8835427,-0.3497819
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.7976108,-0.6899556,0.8835368,-0.3498685
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.7977976,-0.6897685,0.8835463,-0.3496479
1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,0.7969114,-0.6902853,0.8835414,-0.3501143
-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,0.7967901,-0.6904117,0.8835368,-0.3502788
-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.7968577,-0.6903456,0.8835394,-0.3502
-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.7971389,-0.6900903,0.8835521,-0.3499213
-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.7973345,-0.6899463,0.8835582,-0.34979
-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.7979128,-0.6896785,0.8835649,-0.3496607
0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.111111111111111,0.111111111111111,-0.7034111,0.9434328,-0.6396834,0.7328946
0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,0.333333333333333,-0.7034496,0.9434209,-0.6397228,0.7328853
0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.555555555555556,0.555555555555556,-0.7034796,0.9434004,-0.6397738,0.7328561
0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.777777777777778,0.777777777777778,-0.7033935,0.9434678,-0.639607,0.7329762
1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-0.7033935,0.9434678,-0.639607,0.7329762
